State Name,Date,AQI,Category,Defining Parameter,Latitude,Longitude,County Name
Alabama,2001-01-01,38,Good,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2001-01-01,61,Moderate,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2001-01-01,35,Good,PM2.5,31.0921,-87.5435,Escambia
Alabama,2001-01-01,10,Good,PM10,33.904039,-86.053867,Etowah
Alabama,2001-01-01,59,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2001-01-01,32,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2001-01-01,53,Moderate,PM2.5,34.772727,-86.756174,Madison
Alabama,2001-01-01,44,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2001-01-01,74,Moderate,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2001-01-01,20,Good,PM10,34.530717,-86.967536,Morgan
Alabama,2001-01-01,6,Good,PM10,31.790479,-85.978974,Pike
Alabama,2001-01-01,64,Moderate,PM2.5,32.437028,-84.999653,Russell
Alabama,2001-01-01,44,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2001-01-01,31,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2002-01-01,24,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2002-01-01,57,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2002-01-01,24,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2002-01-01,23,Good,SO2,30.474305,-88.141022,Mobile
Alabama,2003-01-01,28,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2003-01-01,31,Good,PM10,33.565278,-86.796389,Jefferson
Alabama,2003-01-01,19,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2003-01-01,9,Good,SO2,30.474305,-88.141022,Mobile
Alabama,2004-01-01,64,Moderate,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2004-01-01,45,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2004-01-01,44,Good,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2004-01-01,55,Moderate,PM2.5,31.0921,-87.5435,Escambia
Alabama,2004-01-01,63,Moderate,PM2.5,33.904039,-86.053867,Etowah
Alabama,2004-01-01,107,Unhealthy for Sensitive Groups,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2004-01-01,36,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2004-01-01,61,Moderate,PM2.5,34.772727,-86.756174,Madison
Alabama,2004-01-01,70,Moderate,PM2.5,30.474305,-88.141022,Mobile
Alabama,2004-01-01,62,Moderate,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2004-01-01,52,Moderate,PM2.5,34.530717,-86.967536,Morgan
Alabama,2004-01-01,112,Unhealthy for Sensitive Groups,PM2.5,32.437028,-84.999653,Russell
Alabama,2004-01-01,59,Moderate,PM2.5,33.0928,-86.8072,Shelby
Alabama,2004-01-01,43,Good,PM2.5,32.362606,-88.277992,Sumter
Alabama,2004-01-01,51,Moderate,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2005-01-01,38,Good,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2005-01-01,48,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2005-01-01,52,Moderate,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2005-01-01,60,Moderate,PM2.5,31.0921,-87.5435,Escambia
Alabama,2005-01-01,62,Moderate,PM2.5,33.904039,-86.053867,Etowah
Alabama,2005-01-01,60,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2005-01-01,40,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2005-01-01,45,Good,PM2.5,34.772727,-86.756174,Madison
Alabama,2005-01-01,45,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2005-01-01,48,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2005-01-01,47,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2005-01-01,68,Moderate,PM2.5,32.437028,-84.999653,Russell
Alabama,2005-01-01,34,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2005-01-01,40,Good,PM2.5,32.362606,-88.277992,Sumter
Alabama,2005-01-01,40,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2006-01-01,30,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2006-01-01,66,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2006-01-01,27,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2006-01-01,3,Good,SO2,30.474305,-88.141022,Mobile
Alabama,2007-01-01,24,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2007-01-01,40,Good,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2007-01-01,23,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2007-01-01,14,Good,PM10,30.474305,-88.141022,Mobile
Alabama,2008-01-01,12,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2008-01-01,32,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2008-01-01,15,Good,PM2.5,33.904039,-86.053867,Etowah
Alabama,2008-01-01,30,Good,Ozone,33.565278,-86.796389,Jefferson
Alabama,2008-01-01,8,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2008-01-01,31,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2008-01-01,42,Good,PM10,30.474305,-88.141022,Mobile
Alabama,2008-01-01,15,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2008-01-01,13,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2008-01-01,60,Moderate,PM2.5,32.437028,-84.999653,Russell
Alabama,2008-01-01,12,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2008-01-01,10,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2009-01-01,20,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2009-01-01,32,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2009-01-01,22,Good,PM2.5,33.904039,-86.053867,Etowah
Alabama,2009-01-01,38,Good,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2009-01-01,19,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2009-01-01,34,Good,Ozone,34.772727,-86.756174,Madison
Alabama,2009-01-01,33,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2009-01-01,34,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2009-01-01,23,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2009-01-01,32,Good,PM2.5,32.437028,-84.999653,Russell
Alabama,2009-01-01,26,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2009-01-01,30,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2010-01-01,25,Good,PM2.5,33.904039,-86.053867,Etowah
Alabama,2010-01-01,31,Good,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2010-01-01,4,Good,PM10,30.474305,-88.141022,Mobile
Alabama,2010-01-01,30,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2010-01-01,35,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2010-01-01,39,Good,PM2.5,32.437028,-84.999653,Russell
Alabama,2010-01-01,39,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2011-01-01,31,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2011-01-01,26,Good,Ozone,33.565278,-86.796389,Jefferson
Alabama,2012-01-01,28,Good,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2012-01-01,33,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2012-01-01,31,Good,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2012-01-01,46,Good,PM2.5,33.904039,-86.053867,Etowah
Alabama,2012-01-01,46,Good,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2012-01-01,22,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2012-01-01,28,Good,PM2.5,34.772727,-86.756174,Madison
Alabama,2012-01-01,29,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2012-01-01,35,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2012-01-01,30,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2012-01-01,83,Moderate,PM2.5,32.437028,-84.999653,Russell
Alabama,2012-01-01,33,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2012-01-01,27,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2013-01-01,30,Good,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2013-01-01,21,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2013-01-01,23,Good,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2013-01-01,36,Good,PM2.5,33.904039,-86.053867,Etowah
Alabama,2013-01-01,28,Good,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2013-01-01,13,Good,PM2.5,34.342904,-87.33973,Lawrence
Alabama,2013-01-01,42,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2013-01-01,39,Good,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2013-01-01,24,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2013-01-01,50,Good,PM2.5,32.437028,-84.999653,Russell
Alabama,2013-01-01,20,Good,PM2.5,33.0928,-86.8072,Shelby
Alabama,2013-01-01,18,Good,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2014-01-01,23,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2014-01-01,62,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2015-01-01,29,Good,Ozone,34.289001,-85.970065,DeKalb
Alabama,2015-01-01,62,Moderate,PM2.5,33.904039,-86.053867,Etowah
Alabama,2015-01-01,62,Moderate,PM2.5,33.565278,-86.796389,Jefferson
Alabama,2015-01-01,45,Good,PM2.5,30.474305,-88.141022,Mobile
Alabama,2015-01-01,57,Moderate,PM2.5,32.412811,-86.263394,Montgomery
Alabama,2015-01-01,32,Good,PM2.5,34.530717,-86.967536,Morgan
Alabama,2015-01-01,66,Moderate,PM2.5,32.437028,-84.999653,Russell
Alabama,2015-01-01,56,Moderate,PM2.5,32.362606,-88.277992,Sumter
Alabama,2015-01-01,58,Moderate,PM2.5,33.089772,-87.459733,Tuscaloosa
Alabama,2016-01-01,33,Good,PM2.5,30.497478,-87.880258,Baldwin
Alabama,2016-01-01,40,Good,PM2.5,33.284928,-85.803608,Clay
Alabama,2016-01-01,42,Good,PM2.5,34.289001,-85.970065,DeKalb
Alabama,2016-01-01,65,Moderate,PM2.5,33.904039,-86.053867,Etowah
